Verosimilitud_L1,logVerosimilitud_L1,Verosimilitud_L2,logVerosimilitud_L2,TRUE PED,logLikelihod(H1:PP-PadreVerdadero),logLikelihod(H2:PP-SinRelacion)
0.0011059199999999998,-6.807077711228692,0.0015925247999999997,-6.4424345976407835,H2:PP-SinRelacion,-6.80708,-6.44243
0.02654208,-3.629023880880747,0.0254803968,-3.6698458754010024,H1:PP-PadreVerdadero,-3.6290199999999997,-3.66985
0.0,-inf,0.00044236799999999995,-7.7233684431028475,H2:PP-SinRelacion,,-7.72337
0.00064512,-7.34607421196138,0.00018063360000000005,-8.619039887774267,H1:PP-PadreVerdadero,-7.34607,-8.61904
0.0,-inf,0.00036126720000000014,-7.925892707214321,H2:PP-SinRelacion,,-7.925889999999999
0.0022579200000000005,-6.093311243466012,0.0010838016000000001,-6.827280418546212,H1:PP-PadreVerdadero,-6.09331,-6.82728
0.0016128000000000002,-6.429783480087225,0.0007741440000000002,-7.163752655167425,H2:PP-SinRelacion,-6.42978,-7.16375
0.004423679999999999,-5.4207833501088025,0.0021233663999999995,-6.154752525189003,H1:PP-PadreVerdadero,-5.420780000000001,-6.15475
0.0016128000000000002,-6.429783480087225,0.001548288,-6.4706054746074795,H2:PP-SinRelacion,-6.42978,-6.47061
0.011059199999999998,-4.504492618234647,0.010616832,-4.545314612754902,H1:PP-PadreVerdadero,-4.5044900000000005,-4.54531
0.0016128000000000002,-6.429783480087225,0.0007741440000000002,-7.163752655167425,H2:PP-SinRelacion,-6.42978,-7.16375
0.015482880000000001,-4.168020381613434,0.0074317824000000015,-4.901989556693635,H1:PP-PadreVerdadero,-4.168019999999999,-4.9019900000000005
0.0,-inf,0.00017694719999999996,-8.639659174977004,H2:PP-SinRelacion,,-8.639660000000001
0.0009215999999999998,-6.989399268022647,0.00018432,-8.598837180456748,H1:PP-PadreVerdadero,-6.9894,-8.59884
