Verosimilitud_L1,logVerosimilitud_L1,Verosimilitud_L2,logVerosimilitud_L2,TRUE PED,logLikelihod(H1:PP-PadreVerdadero),logLikelihod(H2:PP-SinRelacion)
0.00013845178368,-8.884988425223357,0.002680167938564687,-5.921875822779116,H2:PP-SinRelacion,-8.88499,-5.91164
0.0076603682534400015,-4.871695221523577,0.007306818987579496,-4.9189472589474645,H1:PP-PadreVerdadero,-4.8717,-4.91237
0.013085936363519998,-4.3362171854900184,0.0062346517384084576,-5.077632557318965,H2:PP-SinRelacion,-4.33622,-5.0674
0.007646939274240001,-4.873449806073588,0.0021784097422572414,-6.12916014440703,H1:PP-PadreVerdadero,-4.87345,-6.1314400000000004
0.013085936363519998,-4.3362171854900184,0.0031599958216780573,-5.75718457363797,H2:PP-SinRelacion,-4.33622,-5.75427
0.005471691609600001,-5.20816745814479,0.005272513120005353,-5.245248157230305,H1:PP-PadreVerdadero,-5.20817,-5.24884
2.6952791040000005e-05,-10.521423702335248,0.002150121952108908,-6.142230716540072,H2:PP-SinRelacion,-10.5214,-6.13565
0.00764693927424,-4.873449806073588,0.0036464975281771373,-5.613988153401964,H1:PP-PadreVerdadero,-4.87345,-5.60375
0.026217914941439997,-3.6413123254928106,0.01248024109273138,-4.383608597899617,H2:PP-SinRelacion,-3.64131,-4.3733699999999995
0.0054909436032,-5.204655161508498,0.0011322874706427093,-6.783515382109804,H1:PP-PadreVerdadero,-5.20466,-6.78711
2.0054160000000003e-06,-13.119659037430251,0.0002794544024040676,-8.18267141855599,H2:PP-SinRelacion,-13.1197,-8.2001
0.02626411972608,-3.6395515402309453,0.012593832711390411,-4.374548052202918,H1:PP-PadreVerdadero,-3.63955,-4.36797
3.863946240000001e-06,-12.463821554754269,0.0003078751337431445,-8.085816267116376,H2:PP-SinRelacion,-12.4638,-8.07558
0.026264119726079997,-3.6395515402309453,0.01874322879637095,-3.9769227226493857,H1:PP-PadreVerdadero,-3.63955,-3.9666900000000003
0.0021963774412800006,-6.120945893382652,0.003249794459929882,-5.729163527738918,H2:PP-SinRelacion,-6.12095,-5.75845
0.0015959298096000006,-6.44029875986899,0.001540531622468302,-6.475627712732652,H1:PP-PadreVerdadero,-6.4403,-6.47922
0.0009293155368000004,-6.98106222472012,0.0008959457715479925,-7.017630669646825,H2:PP-SinRelacion,-6.98106,-7.02123
0.0027454718016,-5.897802342068443,0.002614185897146598,-5.946802550338338,H1:PP-PadreVerdadero,-5.8978,-5.940230000000001
4.620478464e-05,-9.98242720160256,0.006262987703639567,-5.0730979387747235,H2:PP-SinRelacion,-9.98243,-5.06286
0.01529378371584,-4.180308826225498,0.007280140637426639,-4.922605098632304,H1:PP-PadreVerdadero,-4.1803099999999995,-4.91237
9.240956928e-05,-9.289280021042615,0.003708040245496952,-5.597251777643537,H2:PP-SinRelacion,-9.28928,-5.59068
0.013085936363519998,-4.3362171854900184,0.0062346517384084576,-5.077632557318965,H1:PP-PadreVerdadero,-4.33622,-5.0674
0.052343582883839994,-2.949925930194731,0.024916570806900743,-3.6922222026015374,H2:PP-SinRelacion,-2.9499299999999997,-3.6819900000000003
0.0032714739302399996,-5.722514652434512,0.0007872343430414469,-7.146984586346747,H1:PP-PadreVerdadero,-5.72251,-7.14407
1.9251993600000002e-05,-10.85789593895646,0.002645917221671622,-5.934737498105411,H2:PP-SinRelacion,-10.8579,-5.9383300000000006
0.00436965249024,-5.433071794720865,0.002080040182121896,-6.175368067127672,H1:PP-PadreVerdadero,-5.43307,-6.16513
0.0006383719238400002,-7.356589491743145,0.0006131583111980403,-7.396887398929994,H2:PP-SinRelacion,-7.35659,-7.395510000000001
0.002242135304640001,-6.100326606179917,0.0027828219569672567,-5.884289773703262,H1:PP-PadreVerdadero,-6.1003300000000005,-5.88657
0.026264119726079997,-3.6395515402309453,0.01874322879637095,-3.9769227226493857,H2:PP-SinRelacion,-3.63955,-3.9666900000000003
0.052343582883839994,-2.949925930194731,0.024916570806900743,-3.6922222026015374,H1:PP-PadreVerdadero,-2.9499299999999997,-3.6819900000000003
0.0027454718016,-5.897802342068443,0.003973723864271568,-5.52805162285518,H2:PP-SinRelacion,-5.8978,-5.5353
0.01313205986304,-4.332698720790891,0.006285938658474389,-5.069440099089884,H1:PP-PadreVerdadero,-4.3327,-5.06286
5.76882432e-05,-9.760457162577257,0.00046910607970488896,-7.664681632353819,H2:PP-SinRelacion,-9.76046,-7.65445
0.026217914941439997,-3.6413123254928106,0.01248024109273138,-4.383608597899617,H1:PP-PadreVerdadero,-3.64131,-4.3733699999999995
2.306174976e-05,-10.67733516742437,0.0062748802089621185,-5.07120088435175,H2:PP-SinRelacion,-10.6773,-5.068280000000001
0.01313205986304,-4.332698720790891,0.006285938658474389,-5.069440099089884,H1:PP-PadreVerdadero,-4.3327,-5.06286
0.0076603682534400015,-4.871695221523577,0.0073449309163692925,-4.913744874932279,H2:PP-SinRelacion,-4.8717,-4.91237
0.00437735328768,-5.431311009459,0.0022603640509101836,-6.092229394197121,H1:PP-PadreVerdadero,-5.43131,-6.08199
1.5401594880000004e-05,-11.08103949027067,0.0006443639453096498,-7.347246859018736,H2:PP-SinRelacion,-11.081,-7.376530000000001
0.02621791494144,-3.6413123254928106,0.025007878521092087,-3.6885643629166984,H1:PP-PadreVerdadero,-3.64131,-3.6819900000000003
9.609062400000002e-06,-11.552803904778271,0.0013206312144357476,-6.629645463927222,H2:PP-SinRelacion,-11.5528,-6.63324
0.0021963774412800006,-6.120945893382652,0.003249794459929882,-5.729163527738918,H1:PP-PadreVerdadero,-6.12095,-5.75845
0.052343582883839994,-2.949925930194731,0.024916570806900743,-3.6922222026015374,H2:PP-SinRelacion,-2.9499299999999997,-3.6819900000000003
0.006566029931519999,-5.025845901350836,0.004720212758724565,-5.3559014043995985,H1:PP-PadreVerdadero,-5.02585,-5.3529800000000005
0.01313205986304,-4.332698720790891,0.006285938658474389,-5.069440099089884,H2:PP-SinRelacion,-4.3327,-5.06286
0.01532073650688,-4.178548040963632,0.009422412154701016,-4.664664155795493,H1:PP-PadreVerdadero,-4.17855,-4.6544300000000005
1.9251993600000002e-05,-10.85789593895646,0.002645917221671622,-5.934737498105411,H2:PP-SinRelacion,-10.8579,-5.9383300000000006
0.0109241312256,-4.516781062846711,0.005200100455304742,-5.259077335253517,H1:PP-PadreVerdadero,-4.516780000000001,-5.24884
2.6952791040000005e-05,-10.521423702335248,0.0007851020726852229,-7.149696819736517,H2:PP-SinRelacion,-10.5214,-7.15198
0.010943383219200003,-4.515020277584845,0.002242105101724284,-6.100340076874161,H1:PP-PadreVerdadero,-4.51502,-6.10393
0.015293783715840004,-4.180308826225497,0.014664018899129843,-4.2223584796342,H2:PP-SinRelacion,-4.1803099999999995,-4.22098
0.007646939274240001,-4.873449806073588,0.0021784097422572414,-6.12916014440703,H1:PP-PadreVerdadero,-4.87345,-6.1314400000000004
1.9319731200000006e-06,-13.156968735314214,0.00011249362846870711,-9.092613973757384,H2:PP-SinRelacion,-13.157,-9.0897
0.0012767280422400005,-6.663454690751632,0.001224155152728215,-6.705504344160334,H1:PP-PadreVerdadero,-6.66345,-6.70413
